asks 252; the two option orders disagreed on 73
band        picks  same  early  never   model also took it
>=0.75          5     4      1      0   100%
0.60-0.75       9     3      1      5   44%
0.40-0.60      39     3      1     35   10%
<0.40          60     2      0     58   3%

early:
  0.78 click link "Edit the task" in the row "Edit the task" in "Task #4"  | model: eval 
  0.56 click link "Edit the task" in the row "Edit the task" in "Task #4"  | model: click @e76
  0.65 click link "Edit the task" in the row "Edit the task" in "Task #4"  | model: snapshot observe the page again (take a fresh snapshot) before decidi

never:
  0.27 click link "Add a new task" in the row "Backlog Task count 3 ( Total number of tasks in th  | model: snapshot observe the page again (take a fresh snapshot) before decidi
  0.30 click link "Add a new task" in the row "Backlog Task count 3 ( Total number of tasks in th  | model: eval 
  0.46 click link "Add a new task" in the row "Backlog Task count 4 ( Total number of tasks in th  | model: eval 
  0.43 click link "Add a new task" in the row "Backlog Task count 4 ( Total number of tasks in th  | model: goto http://127.0.0.1:8085/?controller=TaskViewController&action=show&task_id=4
  0.51 click link "Keyboard shortcut: \"v b\"" in the row "Board" in "Task #4"  | model: goto http://127.0.0.1:8085/?controller=BoardViewController&action=show&project_id=1&search=status%3Aopen
  0.32 click link "jskb1r1-n1 Bench Task" in the row "#1 Seed: triage inbox Task age in days <15m  | model: snapshot observe the page again (take a fresh snapshot) before decidi
  0.32 click link "jskb1r1-n1 Bench Task" in the row "#1 Seed: triage inbox Task age in days <15m  | model: eval 
  0.30 click link "jskb1r1-n1 Bench Task" in the row "#1 Seed: triage inbox Task age in days <15m  | model: eval 
  0.35 click link "jskb1r1-n1 Bench Task" in the row "#1 Seed: triage inbox Task age in days <15m  | model: eval 
  0.29 fill textbox "Filter" [currently "status:open"] with v1 = "jskb1r1-n1 Bench Task"  | model: eval 
  0.31 click link "jskb1r1-n1 Bench Task" in the row "#1 Seed: triage inbox Task age in days <15m  | model: drag td.board-column-3 .board-task-list
  0.66 fill textbox "Filter" [currently "status:open"] with v0 = "jskb1r1-n1 Bench Task"  | model: click click link "jskb1r1-n1 Bench Task" in the row "#1 Seed: tria
